"long","lat","group","order","region","subregion","norm_x","norm_y","PCAx","PCAy","Country"
146.045608520508,43.4093246459961,216,16009,"Russia","1",0.7408674326447,0.0543613408279377,0.0140280753881851,-0.00473831955032374,"Russia"
146.032333374023,43.4071311950684,216,16010,"Russia","1",0.740789648483878,0.0543073879339748,0.0140244817599551,-0.00474155672396151,"Russia"
146.028030395508,43.4203643798828,216,16011,"Russia","1",0.740764435686922,0.0546328880890307,0.0140233169287358,-0.00472202671465816,"Russia"
146.048919677734,43.43359375,216,16012,"Russia","1",0.740886833981365,0.0549582944129667,0.0140289717299391,-0.004702502335222,"Russia"
146.088577270508,43.4490242004395,216,16013,"Russia","1",0.741119202985937,0.0553378412931054,0.0140397071779503,-0.00467972952241367,"Russia"
146.100784301758,43.440185546875,216,16014,"Russia","1",0.741190728651061,0.0551204345882151,0.014043011663679,-0.00469277392470709,"Russia"
146.086318969727,43.42919921875,216,16015,"Russia","1",0.741105970737889,0.0548502009628011,0.0140390958480905,-0.00470898794223193,"Russia"
146.069915771484,43.4214820861816,216,16016,"Russia","1",0.741009858125379,0.0546603806071718,0.0140346554453925,-0.00472037716356969,"Russia"
146.045608520508,43.4093246459961,216,16017,"Russia","1",0.7408674326447,0.0543613408279377,0.0140280753881851,-0.00473831955032374,"Russia"
145.881546020508,43.4595222473145,217,16019,"Russia","2",0.739906127705432,0.0555960645351677,0.0139836630999909,-0.00466423612788994,"Russia"
145.895599365234,43.4545402526855,217,16020,"Russia","2",0.739988471627406,0.055473521092532,0.0139874673891861,-0.00467158873444808,"Russia"
145.913864135742,43.4553718566895,217,16021,"Russia","2",0.740095491903848,0.0554939762766779,0.0139924117259578,-0.00467036142339932,"Russia"
145.93115234375,43.45703125,217,16022,"Russia","2",0.74019679012708,0.0555347928138498,0.0139970917038711,-0.00466791243116901,"Russia"
145.941116333008,43.4454612731934,217,16023,"Russia","2",0.740255172951238,0.0552502030270858,0.0139997889903472,-0.00468498781837485,"Russia"
145.943542480469,43.4264640808105,217,16024,"Russia","2",0.740269388677181,0.0547829240498074,0.0140004457568858,-0.00471302455701155,"Russia"
145.93115234375,43.4256362915039,217,16025,"Russia","2",0.74019679012708,0.0547625626967815,0.0139970917038711,-0.00471424623819311,"Russia"
145.9072265625,43.4223175048828,217,16026,"Russia","2",0.740056599823437,0.0546809296224376,0.0139906149118428,-0.00471914422265374,"Russia"
145.893951416016,43.4198226928711,217,16027,"Russia","2",0.739978815662614,0.0546195640699999,0.0139870212836128,-0.00472282615580001,"Russia"
145.886535644531,43.4330558776855,217,16028,"Russia","2",0.739935363821051,0.0549450642250558,0.0139850138085326,-0.00470329614649665,"Russia"
145.881546020508,43.4437980651855,217,16029,"Russia","2",0.739906127705432,0.0552092926587939,0.0139836630999909,-0.00468744244047237,"Russia"
145.869140625,43.450439453125,217,16030,"Russia","2",0.739833439748249,0.0553726526386015,0.0139803049163691,-0.00467764084168391,"Russia"
145.869140625,43.4578590393066,217,16031,"Russia","2",0.739833439748249,0.0555551541668758,0.0139803049163691,-0.00466669074998745,"Russia"
145.881546020508,43.4595222473145,217,16032,"Russia","2",0.739906127705432,0.0555960645351677,0.0139836630999909,-0.00466423612788994,"Russia"
146.358779907227,43.6253929138184,218,16034,"Russia","3",0.74270242358346,0.059676029292199,0.0141128519695559,-0.00441943824246806,"Russia"
146.332321166992,43.6199188232422,218,16035,"Russia","3",0.742547391704304,0.0595413816350917,0.0141056894967388,-0.0044275171018945,"Russia"
146.288192749023,43.6253929138184,218,16036,"Russia","3",0.74228882642488,0.059676029292199,0.0140937437808294,-0.00441943824246806,"Russia"
146.273834228516,43.6298332214355,218,16037,"Russia","3",0.742204694361278,0.0597852487158038,0.014089856879491,-0.00441288507705177,"Russia"
146.28369140625,43.6386222839355,218,16038,"Russia","3",0.742262451335865,0.060001435616135,0.014092525251717,-0.0043999138630319,"Russia"
146.310150146484,43.65185546875,218,16039,"Russia","3",0.742417483215022,0.0603269357711909,0.014099687724534,-0.00438038385372854,"Russia"
146.333312988281,43.6474609375,218,16040,"Russia","3",0.742553203164595,0.0602188423210253,0.0141059579862043,-0.00438686946073848,"Russia"
146.349807739258,43.6441421508789,218,16041,"Russia","3",0.742649852219594,0.0601372092466815,0.0141104231725452,-0.00439176744519911,"Russia"
146.358779907227,43.6253929138184,218,16042,"Russia","3",0.74270242358346,0.059676029292199,0.0141128519695559,-0.00441943824246806,"Russia"
146.713958740234,43.7438011169434,219,16044,"Russia","Shikotan To",0.744783552217329,0.062588547254994,0.0142090001124406,-0.00424468716470036,"Russia"
146.683013916016,43.7163543701172,219,16045,"Russia","Shikotan To",0.744602234656239,0.0619134323470588,0.0142006232411182,-0.00428519405917647,"Russia"
146.608596801758,43.740478515625,219,16046,"Russia","Shikotan To",0.744166196320226,0.0625068203495303,0.0141804782699944,-0.00424959077902818,"Russia"
146.613479614258,43.7970199584961,219,16047,"Russia","Shikotan To",0.744194806586275,0.0638975852092129,0.0141818000642859,-0.00416614488744723,"Russia"
146.621978759766,43.81298828125,219,16048,"Russia","Shikotan To",0.744244606330618,0.0642903622772625,0.0141841008124746,-0.00414257826336425,"Russia"
146.824615478516,43.8604965209961,219,16049,"Russia","Shikotan To",0.745431932371679,0.0654589350449381,0.0142389552755716,-0.00407246389730372,"Russia"
146.884078979492,43.8291511535645,219,16050,"Russia","Shikotan To",0.745780351767915,0.0646879247324288,0.0142550522516777,-0.00411872451605427,"Russia"
